,Sample,Population
0,HG00096,Europe
1,HG00097,Europe
2,HG00098,Europe
3,HG00099,Europe
4,HG00100,Europe
5,HG00101,Europe
6,HG00102,Europe
7,HG00103,Europe
8,HG00104,Europe
9,HG00105,Europe
10,HG00106,Europe
11,HG00107,Europe
12,HG00108,Europe
13,HG00109,Europe
14,HG00110,Europe
15,HG00111,Europe
16,HG00112,Europe
17,HG00113,Europe
18,HG00114,Europe
19,HG00115,Europe
20,HG00116,Europe
21,HG00117,Europe
22,HG00118,Europe
23,HG00119,Europe
24,HG00120,Europe
25,HG00121,Europe
26,HG00122,Europe
27,HG00123,Europe
28,HG00124,Europe
29,HG00125,Europe
30,HG00126,Europe
31,HG00127,Europe
32,HG00128,Europe
33,HG00129,Europe
34,HG00130,Europe
35,HG00131,Europe
36,HG00132,Europe
37,HG00133,Europe
38,HG00134,Europe
39,HG00135,Europe
40,HG00136,Europe
41,HG00137,Europe
42,HG00138,Europe
43,HG00139,Europe
44,HG00140,Europe
45,HG00141,Europe
46,HG00142,Europe
47,HG00143,Europe
48,HG00144,Europe
49,HG00145,Europe
50,HG00146,Europe
51,HG00147,Europe
52,HG00148,Europe
53,HG00149,Europe
54,HG00150,Europe
55,HG00151,Europe
56,HG00152,Europe
57,HG00153,Europe
58,HG00154,Europe
59,HG00155,Europe
60,HG00156,Europe
61,HG00157,Europe
62,HG00158,Europe
63,HG00159,Europe
64,HG00160,Europe
65,HG00171,Europe
66,HG00173,Europe
67,HG00174,Europe
68,HG00176,Europe
69,HG00177,Europe
70,HG00178,Europe
71,HG00179,Europe
72,HG00180,Europe
73,HG00181,Europe
74,HG00182,Europe
75,HG00183,Europe
76,HG00185,Europe
77,HG00186,Europe
78,HG00187,Europe
79,HG00188,Europe
80,HG00189,Europe
81,HG00190,Europe
82,HG00231,Europe
83,HG00232,Europe
84,HG00233,Europe
85,HG00234,Europe
86,HG00235,Europe
87,HG00236,Europe
88,HG00237,Europe
89,HG00238,Europe
90,HG00239,Europe
91,HG00240,Europe
92,HG00242,Europe
93,HG00243,Europe
94,HG00244,Europe
95,HG00245,Europe
96,HG00246,Europe
97,HG00247,Europe
98,HG00248,Europe
99,HG00249,Europe
100,HG00250,Europe
101,HG00251,Europe
102,HG00252,Europe
103,HG00253,Europe
104,HG00254,Europe
105,HG00255,Europe
106,HG00256,Europe
107,HG00257,Europe
108,HG00258,Europe
109,HG00259,Europe
110,HG00260,Europe
111,HG00261,Europe
112,HG00262,Europe
113,HG00263,Europe
114,HG00264,Europe
115,HG00265,Europe
116,HG00266,Europe
117,HG00267,Europe
118,HG00268,Europe
119,HG00269,Europe
120,HG00270,Europe
121,HG00271,Europe
122,HG00272,Europe
123,HG00273,Europe
124,HG00274,Europe
125,HG00275,Europe
126,HG00276,Europe
127,HG00277,Europe
128,HG00278,Europe
129,HG00280,Europe
130,HG00281,Europe
131,HG00282,Europe
132,HG00284,Europe
133,HG00285,Europe
134,HG00288,Europe
135,HG00290,Europe
136,HG00302,Europe
137,HG00303,Europe
138,HG00304,Europe
139,HG00306,Europe
140,HG00308,Europe
141,HG00309,Europe
142,HG00310,Europe
143,HG00311,Europe
144,HG00312,Europe
145,HG00313,Europe
146,HG00315,Europe
147,HG00318,Europe
148,HG00319,Europe
149,HG00320,Europe
150,HG00321,Europe
151,HG00323,Europe
152,HG00324,Europe
153,HG00325,Europe
154,HG00326,Europe
155,HG00327,Europe
156,HG00328,Europe
157,HG00329,Europe
158,HG00330,Europe
159,HG00331,Europe
160,HG00332,Europe
161,HG00334,Europe
162,HG00335,Europe
163,HG00336,Europe
164,HG00337,Europe
165,HG00338,Europe
166,HG00339,Europe
167,HG00341,Europe
168,HG00342,Europe
169,HG00343,Europe
170,HG00344,Europe
171,HG00345,Europe
172,HG00346,Europe
173,HG00349,Europe
174,HG00350,Europe
175,HG00351,Europe
176,HG00353,Europe
177,HG00355,Europe
178,HG00356,Europe
179,HG00357,Europe
180,HG00358,Europe
181,HG00359,Europe
182,HG00360,Europe
183,HG00361,Europe
184,HG00362,Europe
185,HG00364,Europe
186,HG00365,Europe
187,HG00366,Europe
188,HG00367,Europe
189,HG00368,Europe
190,HG00369,Europe
191,HG00371,Europe
192,HG00372,Europe
193,HG00373,Europe
194,HG00375,Europe
195,HG00376,Europe
196,HG00377,Europe
197,HG00378,Europe
198,HG00379,Europe
199,HG00380,Europe
200,HG00381,Europe
201,HG00382,Europe
202,HG00383,Europe
203,HG00384,Europe
204,HG00403,Asia
205,HG00404,Asia
206,HG00405,Asia
207,HG00406,Asia
208,HG00407,Asia
209,HG00408,Asia
210,HG00409,Asia
211,HG00410,Asia
212,HG00411,Asia
213,HG00418,Asia
214,HG00419,Asia
215,HG00420,Asia
216,HG00421,Asia
217,HG00422,Asia
218,HG00423,Asia
219,HG00427,Asia
220,HG00428,Asia
221,HG00429,Asia
222,HG00436,Asia
223,HG00437,Asia
224,HG00438,Asia
225,HG00442,Asia
226,HG00443,Asia
227,HG00444,Asia
228,HG00445,Asia
229,HG00446,Asia
230,HG00447,Asia
231,HG00448,Asia
232,HG00449,Asia
233,HG00450,Asia
234,HG00451,Asia
235,HG00452,Asia
236,HG00453,Asia
237,HG00457,Asia
238,HG00458,Asia
239,HG00459,Asia
240,HG00463,Asia
241,HG00464,Asia
242,HG00465,Asia
243,HG00472,Asia
244,HG00473,Asia
245,HG00474,Asia
246,HG00475,Asia
247,HG00476,Asia
248,HG00477,Asia
249,HG00478,Asia
250,HG00479,Asia
251,HG00480,Asia
252,HG00500,Asia
253,HG00501,Asia
254,HG00502,Asia
255,HG00512,Asia
256,HG00513,Asia
257,HG00514,Asia
258,HG00524,Asia
259,HG00525,Asia
260,HG00526,Asia
261,HG00530,Asia
262,HG00531,Asia
263,HG00532,Asia
264,HG00533,Asia
265,HG00534,Asia
266,HG00535,Asia
267,HG00536,Asia
268,HG00537,Asia
269,HG00538,Asia
270,HG00542,Asia
271,HG00543,Asia
272,HG00544,Asia
273,HG00551,NorthAmerica
274,HG00552,NorthAmerica
275,HG00553,NorthAmerica
276,HG00554,NorthAmerica
277,HG00555,NorthAmerica
278,HG00556,Asia
279,HG00557,Asia
280,HG00558,Asia
281,HG00559,Asia
282,HG00560,Asia
283,HG00561,Asia
284,HG00565,Asia
285,HG00566,Asia
286,HG00567,Asia
287,HG00577,Asia
288,HG00578,Asia
289,HG00579,Asia
290,HG00580,Asia
291,HG00581,Asia
292,HG00582,Asia
293,HG00583,Asia
294,HG00584,Asia
295,HG00585,Asia
296,HG00589,Asia
297,HG00590,Asia
298,HG00591,Asia
299,HG00592,Asia
300,HG00593,Asia
301,HG00594,Asia
302,HG00595,Asia
303,HG00596,Asia
304,HG00597,Asia
305,HG00598,Asia
306,HG00599,Asia
307,HG00600,Asia
308,HG00607,Asia
309,HG00608,Asia
310,HG00609,Asia
311,HG00610,Asia
312,HG00611,Asia
313,HG00612,Asia
314,HG00613,Asia
315,HG00614,Asia
316,HG00615,Asia
317,HG00619,Asia
318,HG00620,Asia
319,HG00621,Asia
320,HG00622,Asia
321,HG00623,Asia
322,HG00624,Asia
323,HG00625,Asia
324,HG00626,Asia
325,HG00627,Asia
326,HG00628,Asia
327,HG00629,Asia
328,HG00630,Asia
329,HG00631,Asia
330,HG00632,Asia
331,HG00633,Asia
332,HG00634,Asia
333,HG00635,Asia
334,HG00636,Asia
335,HG00637,NorthAmerica
336,HG00638,NorthAmerica
337,HG00639,NorthAmerica
338,HG00640,NorthAmerica
339,HG00641,NorthAmerica
340,HG00642,NorthAmerica
341,HG00650,Asia
342,HG00651,Asia
343,HG00652,Asia
344,HG00653,Asia
345,HG00654,Asia
346,HG00655,Asia
347,HG00656,Asia
348,HG00657,Asia
349,HG00658,Asia
350,HG00662,Asia
351,HG00663,Asia
352,HG00664,Asia
353,HG00671,Asia
354,HG00672,Asia
355,HG00673,Asia
356,HG00674,Asia
357,HG00675,Asia
358,HG00676,Asia
359,HG00683,Asia
360,HG00684,Asia
361,HG00685,Asia
362,HG00689,Asia
363,HG00690,Asia
364,HG00691,Asia
365,HG00692,Asia
366,HG00693,Asia
367,HG00694,Asia
368,HG00698,Asia
369,HG00699,Asia
370,HG00700,Asia
371,HG00701,Asia
372,HG00702,Asia
373,HG00703,Asia
374,HG00704,Asia
375,HG00705,Asia
376,HG00706,Asia
377,HG00707,Asia
378,HG00708,Asia
379,HG00709,Asia
380,HG00716,Asia
381,HG00717,Asia
382,HG00718,Asia
383,HG00728,Asia
384,HG00729,Asia
385,HG00730,Asia
386,HG00731,NorthAmerica
387,HG00732,NorthAmerica
388,HG00733,NorthAmerica
389,HG00734,NorthAmerica
390,HG00735,NorthAmerica
391,HG00736,NorthAmerica
392,HG00737,NorthAmerica
393,HG00738,NorthAmerica
394,HG00739,NorthAmerica
395,HG00740,NorthAmerica
396,HG00741,NorthAmerica
397,HG00742,NorthAmerica
398,HG00743,NorthAmerica
399,HG00759,Asia
400,HG00766,Asia
401,HG00844,Asia
402,HG00851,Asia
403,HG00864,Asia
404,HG00866,Asia
405,HG00867,Asia
406,HG00879,Asia
407,HG00881,Asia
408,HG00956,Asia
409,HG00978,Asia
410,HG00982,Asia
411,HG00983,Asia
412,HG01028,Asia
413,HG01029,Asia
414,HG01031,Asia
415,HG01046,Asia
416,HG01047,NorthAmerica
417,HG01048,NorthAmerica
418,HG01049,NorthAmerica
419,HG01050,NorthAmerica
420,HG01051,NorthAmerica
421,HG01052,NorthAmerica
422,HG01053,NorthAmerica
423,HG01054,NorthAmerica
424,HG01055,NorthAmerica
425,HG01056,NorthAmerica
426,HG01058,NorthAmerica
427,HG01060,NorthAmerica
428,HG01061,NorthAmerica
429,HG01062,NorthAmerica
430,HG01063,NorthAmerica
431,HG01064,NorthAmerica
432,HG01066,NorthAmerica
433,HG01067,NorthAmerica
434,HG01068,NorthAmerica
435,HG01069,NorthAmerica
436,HG01070,NorthAmerica
437,HG01071,NorthAmerica
438,HG01072,NorthAmerica
439,HG01073,NorthAmerica
440,HG01074,NorthAmerica
441,HG01075,NorthAmerica
442,HG01077,NorthAmerica
443,HG01079,NorthAmerica
444,HG01080,NorthAmerica
445,HG01081,NorthAmerica
446,HG01082,NorthAmerica
447,HG01083,NorthAmerica
448,HG01084,NorthAmerica
449,HG01085,NorthAmerica
450,HG01086,NorthAmerica
451,HG01087,NorthAmerica
452,HG01088,NorthAmerica
453,HG01089,NorthAmerica
454,HG01090,NorthAmerica
455,HG01092,NorthAmerica
456,HG01094,NorthAmerica
457,HG01095,NorthAmerica
458,HG01096,NorthAmerica
459,HG01097,NorthAmerica
460,HG01098,NorthAmerica
461,HG01099,NorthAmerica
462,HG01100,NorthAmerica
463,HG01101,NorthAmerica
464,HG01102,NorthAmerica
465,HG01103,NorthAmerica
466,HG01104,NorthAmerica
467,HG01105,NorthAmerica
468,HG01106,NorthAmerica
469,HG01107,NorthAmerica
470,HG01108,NorthAmerica
471,HG01109,NorthAmerica
472,HG01110,NorthAmerica
473,HG01111,NorthAmerica
474,HG01112,SouthAmerica
475,HG01113,SouthAmerica
476,HG01114,SouthAmerica
477,HG01119,SouthAmerica
478,HG01121,SouthAmerica
479,HG01122,SouthAmerica
480,HG01123,SouthAmerica
481,HG01124,SouthAmerica
482,HG01125,SouthAmerica
483,HG01126,SouthAmerica
484,HG01130,SouthAmerica
485,HG01131,SouthAmerica
486,HG01133,SouthAmerica
487,HG01134,SouthAmerica
488,HG01135,SouthAmerica
489,HG01136,SouthAmerica
490,HG01137,SouthAmerica
491,HG01138,SouthAmerica
492,HG01139,SouthAmerica
493,HG01140,SouthAmerica
494,HG01141,SouthAmerica
495,HG01142,SouthAmerica
496,HG01148,SouthAmerica
497,HG01149,SouthAmerica
498,HG01150,SouthAmerica
499,HG01161,NorthAmerica
500,HG01162,NorthAmerica
501,HG01164,NorthAmerica
502,HG01167,NorthAmerica
503,HG01168,NorthAmerica
504,HG01169,NorthAmerica
505,HG01170,NorthAmerica
506,HG01171,NorthAmerica
507,HG01172,NorthAmerica
508,HG01173,NorthAmerica
509,HG01174,NorthAmerica
510,HG01175,NorthAmerica
511,HG01176,NorthAmerica
512,HG01177,NorthAmerica
513,HG01178,NorthAmerica
514,HG01182,NorthAmerica
515,HG01183,NorthAmerica
516,HG01184,NorthAmerica
517,HG01187,NorthAmerica
518,HG01188,NorthAmerica
519,HG01189,NorthAmerica
520,HG01190,NorthAmerica
521,HG01191,NorthAmerica
522,HG01192,NorthAmerica
523,HG01195,NorthAmerica
524,HG01197,NorthAmerica
525,HG01198,NorthAmerica
526,HG01199,NorthAmerica
527,HG01200,NorthAmerica
528,HG01204,NorthAmerica
529,HG01205,NorthAmerica
530,HG01206,NorthAmerica
531,HG01241,NorthAmerica
532,HG01242,NorthAmerica
533,HG01243,NorthAmerica
534,HG01247,NorthAmerica
535,HG01248,NorthAmerica
536,HG01249,NorthAmerica
537,HG01250,SouthAmerica
538,HG01251,SouthAmerica
539,HG01252,SouthAmerica
540,HG01253,SouthAmerica
541,HG01254,SouthAmerica
542,HG01255,SouthAmerica
543,HG01256,SouthAmerica
544,HG01257,SouthAmerica
545,HG01258,SouthAmerica
546,HG01259,SouthAmerica
547,HG01260,SouthAmerica
548,HG01261,SouthAmerica
549,HG01269,SouthAmerica
550,HG01271,SouthAmerica
551,HG01272,SouthAmerica
552,HG01273,SouthAmerica
553,HG01274,SouthAmerica
554,HG01275,SouthAmerica
555,HG01276,SouthAmerica
556,HG01277,SouthAmerica
557,HG01278,SouthAmerica
558,HG01279,SouthAmerica
559,HG01280,SouthAmerica
560,HG01281,SouthAmerica
561,HG01284,SouthAmerica
562,HG01286,NorthAmerica
563,HG01301,NorthAmerica
564,HG01302,NorthAmerica
565,HG01303,NorthAmerica
566,HG01305,NorthAmerica
567,HG01308,NorthAmerica
568,HG01311,NorthAmerica
569,HG01312,NorthAmerica
570,HG01322,NorthAmerica
571,HG01323,NorthAmerica
572,HG01324,NorthAmerica
573,HG01325,NorthAmerica
574,HG01326,NorthAmerica
575,HG01327,NorthAmerica
576,HG01334,Europe
577,HG01341,SouthAmerica
578,HG01342,SouthAmerica
579,HG01343,SouthAmerica
580,HG01344,SouthAmerica
581,HG01345,SouthAmerica
582,HG01346,SouthAmerica
583,HG01347,SouthAmerica
584,HG01348,SouthAmerica
585,HG01349,SouthAmerica
586,HG01350,SouthAmerica
587,HG01351,SouthAmerica
588,HG01352,SouthAmerica
589,HG01353,SouthAmerica
590,HG01354,SouthAmerica
591,HG01355,SouthAmerica
592,HG01356,SouthAmerica
593,HG01357,SouthAmerica
594,HG01358,SouthAmerica
595,HG01359,SouthAmerica
596,HG01360,SouthAmerica
597,HG01361,SouthAmerica
598,HG01362,SouthAmerica
599,HG01363,SouthAmerica
600,HG01364,SouthAmerica
601,HG01365,SouthAmerica
602,HG01366,SouthAmerica
603,HG01367,SouthAmerica
604,HG01369,SouthAmerica
605,HG01372,SouthAmerica
606,HG01374,SouthAmerica
607,HG01375,SouthAmerica
608,HG01376,SouthAmerica
609,HG01377,SouthAmerica
610,HG01378,SouthAmerica
611,HG01379,SouthAmerica
612,HG01383,SouthAmerica
613,HG01384,SouthAmerica
614,HG01385,SouthAmerica
615,HG01389,SouthAmerica
616,HG01390,SouthAmerica
617,HG01391,SouthAmerica
618,HG01392,NorthAmerica
619,HG01393,NorthAmerica
620,HG01394,NorthAmerica
621,HG01395,NorthAmerica
622,HG01396,NorthAmerica
623,HG01397,NorthAmerica
624,HG01398,NorthAmerica
625,HG01402,NorthAmerica
626,HG01403,NorthAmerica
627,HG01404,NorthAmerica
628,HG01405,NorthAmerica
629,HG01411,NorthAmerica
630,HG01412,NorthAmerica
631,HG01413,NorthAmerica
632,HG01414,NorthAmerica
633,HG01415,NorthAmerica
634,HG01431,SouthAmerica
635,HG01432,SouthAmerica
636,HG01433,SouthAmerica
637,HG01435,SouthAmerica
638,HG01437,SouthAmerica
639,HG01438,SouthAmerica
640,HG01439,SouthAmerica
641,HG01440,SouthAmerica
642,HG01441,SouthAmerica
643,HG01442,SouthAmerica
644,HG01443,SouthAmerica
645,HG01444,SouthAmerica
646,HG01445,SouthAmerica
647,HG01447,SouthAmerica
648,HG01452,SouthAmerica
649,HG01453,SouthAmerica
650,HG01454,SouthAmerica
651,HG01455,SouthAmerica
652,HG01456,SouthAmerica
653,HG01457,SouthAmerica
654,HG01459,SouthAmerica
655,HG01461,SouthAmerica
656,HG01462,SouthAmerica
657,HG01463,SouthAmerica
658,HG01464,SouthAmerica
659,HG01465,SouthAmerica
660,HG01466,SouthAmerica
661,HG01468,SouthAmerica
662,HG01471,SouthAmerica
663,HG01473,SouthAmerica
664,HG01474,SouthAmerica
665,HG01477,SouthAmerica
666,HG01479,SouthAmerica
667,HG01480,SouthAmerica
668,HG01481,SouthAmerica
669,HG01482,SouthAmerica
670,HG01483,SouthAmerica
671,HG01484,SouthAmerica
672,HG01485,SouthAmerica
673,HG01486,SouthAmerica
674,HG01487,SouthAmerica
675,HG01488,SouthAmerica
676,HG01489,SouthAmerica
677,HG01490,SouthAmerica
678,HG01491,SouthAmerica
679,HG01492,SouthAmerica
680,HG01493,SouthAmerica
681,HG01494,SouthAmerica
682,HG01495,SouthAmerica
683,HG01496,SouthAmerica
684,HG01497,SouthAmerica
685,HG01498,SouthAmerica
686,HG01499,SouthAmerica
687,HG01500,Europe
688,HG01501,Europe
689,HG01502,Europe
690,HG01503,Europe
691,HG01504,Europe
692,HG01505,Europe
693,HG01506,Europe
694,HG01507,Europe
695,HG01508,Europe
696,HG01509,Europe
697,HG01510,Europe
698,HG01511,Europe
699,HG01512,Europe
700,HG01513,Europe
701,HG01514,Europe
702,HG01515,Europe
703,HG01516,Europe
704,HG01517,Europe
705,HG01518,Europe
706,HG01519,Europe
707,HG01520,Europe
708,HG01521,Europe
709,HG01522,Europe
710,HG01523,Europe
711,HG01524,Europe
712,HG01525,Europe
713,HG01526,Europe
714,HG01527,Europe
715,HG01528,Europe
716,HG01529,Europe
717,HG01530,Europe
718,HG01531,Europe
719,HG01532,Europe
720,HG01536,Europe
721,HG01537,Europe
722,HG01538,Europe
723,HG01550,SouthAmerica
724,HG01551,SouthAmerica
725,HG01552,SouthAmerica
726,HG01556,SouthAmerica
727,HG01565,SouthAmerica
728,HG01566,SouthAmerica
729,HG01567,SouthAmerica
730,HG01571,SouthAmerica
731,HG01572,SouthAmerica
732,HG01573,SouthAmerica
733,HG01577,SouthAmerica
734,HG01578,SouthAmerica
735,HG01579,SouthAmerica
736,HG01583,Asia
737,HG01586,Asia
738,HG01589,Asia
739,HG01590,Asia
740,HG01593,Asia
741,HG01594,Asia
742,HG01595,Africa
743,HG01596,Africa
744,HG01597,Africa
745,HG01598,Africa
746,HG01599,Africa
747,HG01600,Africa
748,HG01601,Europe
749,HG01602,Europe
750,HG01603,Europe
751,HG01604,Europe
752,HG01605,Europe
753,HG01606,Europe
754,HG01607,Europe
755,HG01608,Europe
756,HG01609,Europe
757,HG01610,Europe
758,HG01611,Europe
759,HG01612,Europe
760,HG01613,Europe
761,HG01614,Europe
762,HG01615,Europe
763,HG01616,Europe
764,HG01617,Europe
765,HG01618,Europe
766,HG01619,Europe
767,HG01620,Europe
768,HG01621,Europe
769,HG01622,Europe
770,HG01623,Europe
771,HG01624,Europe
772,HG01625,Europe
773,HG01626,Europe
774,HG01627,Europe
775,HG01628,Europe
776,HG01629,Europe
777,HG01630,Europe
778,HG01631,Europe
779,HG01632,Europe
780,HG01633,Europe
781,HG01667,Europe
782,HG01668,Europe
783,HG01669,Europe
784,HG01670,Europe
785,HG01671,Europe
786,HG01672,Europe
787,HG01673,Europe
788,HG01674,Europe
789,HG01675,Europe
790,HG01676,Europe
791,HG01677,Europe
792,HG01678,Europe
793,HG01679,Europe
794,HG01680,Europe
795,HG01681,Europe
796,HG01682,Europe
797,HG01683,Europe
798,HG01684,Europe
799,HG01685,Europe
800,HG01686,Europe
801,HG01687,Europe
802,HG01694,Europe
803,HG01695,Europe
804,HG01696,Europe
805,HG01697,Europe
806,HG01698,Europe
807,HG01699,Europe
808,HG01700,Europe
809,HG01701,Europe
810,HG01702,Europe
811,HG01703,Europe
812,HG01704,Europe
813,HG01705,Europe
814,HG01706,Europe
815,HG01707,Europe
816,HG01708,Europe
817,HG01709,Europe
818,HG01710,Europe
819,HG01711,Europe
820,HG01746,Europe
821,HG01747,Europe
822,HG01748,Europe
823,HG01755,Europe
824,HG01756,Europe
825,HG01757,Europe
826,HG01761,Europe
827,HG01762,Europe
828,HG01763,Europe
829,HG01764,Europe
830,HG01765,Europe
831,HG01766,Europe
832,HG01767,Europe
833,HG01768,Europe
834,HG01769,Europe
835,HG01770,Europe
836,HG01771,Europe
837,HG01772,Europe
838,HG01773,Europe
839,HG01774,Europe
840,HG01775,Europe
841,HG01776,Europe
842,HG01777,Europe
843,HG01778,Europe
844,HG01779,Europe
845,HG01780,Europe
846,HG01781,Europe
847,HG01782,Europe
848,HG01783,Europe
849,HG01784,Europe
850,HG01785,Europe
851,HG01786,Europe
852,HG01787,Europe
853,HG01789,Europe
854,HG01790,Europe
855,HG01791,Europe
856,HG01794,Asia
857,HG01795,Asia
858,HG01796,Asia
859,HG01797,Asia
860,HG01798,Asia
861,HG01799,Asia
862,HG01800,Asia
863,HG01801,Asia
864,HG01802,Asia
865,HG01804,Asia
866,HG01805,Asia
867,HG01806,Asia
868,HG01807,Asia
869,HG01808,Asia
870,HG01809,Asia
871,HG01810,Asia
872,HG01811,Asia
873,HG01812,Asia
874,HG01813,Asia
875,HG01815,Asia
876,HG01816,Asia
877,HG01817,Asia
878,HG01840,Africa
879,HG01841,Africa
880,HG01842,Africa
881,HG01843,Africa
882,HG01844,Africa
883,HG01845,Africa
884,HG01846,Africa
885,HG01847,Africa
